"X" "Y"
10.0477 44.655
10.0477 44.61
9.9847 44.61
9.9847 44.655
NA NA
10.0478 44.655
10.1108 44.655
10.1108 44.61
10.0478 44.61
10.0478 44.655
NA NA
10.1108 44.655
10.1738 44.655
10.1738 44.61
10.1108 44.61
10.1108 44.655
NA NA
10.1739 44.655
10.2369 44.655
10.2369 44.61
10.1739 44.61
10.1739 44.655
NA NA
10.2369 44.655
10.2999 44.655
10.2999 44.61
10.2369 44.61
10.2369 44.655
NA NA
10.3 44.655
10.363 44.655
10.363 44.61
10.3 44.61
10.3 44.655
NA NA
10.363 44.655
10.426 44.655
10.426 44.61
10.363 44.61
10.363 44.655
NA NA
9.73252 44.7
9.79552 44.7
9.79552 44.655
9.73252 44.655
9.73252 44.7
NA NA
9.79557 44.7
9.85857 44.7
9.85857 44.655
9.79557 44.655
9.79557 44.7
NA NA
9.85862 44.7
9.92162 44.7
9.92162 44.655
9.85862 44.655
9.85862 44.7
NA NA
9.92167 44.7
9.98467 44.7
9.98467 44.655
9.92167 44.655
9.92167 44.7
NA NA
9.9847 44.7
10.0477 44.7
10.0477 44.655
9.9847 44.655
9.9847 44.7
NA NA
10.0478 44.7
10.1108 44.7
10.1108 44.655
10.0478 44.655
10.0478 44.7
NA NA
10.1108 44.7
10.1738 44.7
10.1738 44.655
10.1108 44.655
10.1108 44.7
NA NA
10.1739 44.7
10.2369 44.7
10.2369 44.655
10.1739 44.655
10.1739 44.7
NA NA
10.2369 44.7
10.2999 44.7
10.2999 44.655
10.2369 44.655
10.2369 44.7
NA NA
10.3 44.7
10.363 44.7
10.363 44.655
10.3 44.655
10.3 44.7
NA NA
10.363 44.7
10.426 44.7
10.426 44.655
10.363 44.655
10.363 44.7
NA NA
9.79557 44.745
9.85857 44.745
9.85857 44.7
9.79557 44.7
9.79557 44.745
NA NA
9.85862 44.745
9.92162 44.745
9.92162 44.7
9.85862 44.7
9.85862 44.745
NA NA
9.92167 44.745
9.98467 44.745
9.98467 44.7
9.92167 44.7
9.92167 44.745
NA NA
9.9847 44.745
10.0477 44.745
10.0477 44.7
9.9847 44.7
9.9847 44.745
NA NA
10.0478 44.745
10.1108 44.745
10.1108 44.7
10.0478 44.7
10.0478 44.745
NA NA
10.1108 44.745
10.1738 44.745
10.1738 44.7
10.1108 44.7
10.1108 44.745
NA NA
10.1739 44.745
10.2369 44.745
10.2369 44.7
10.1739 44.7
10.1739 44.745
NA NA
10.2369 44.745
10.2999 44.745
10.2999 44.7
10.2369 44.7
10.2369 44.745
NA NA
10.3 44.745
10.363 44.745
10.363 44.7
10.3 44.7
10.3 44.745
NA NA
10.363 44.745
10.426 44.745
10.426 44.7
10.363 44.7
10.363 44.745
NA NA
9.85862 44.79
9.92162 44.79
9.92162 44.745
9.85862 44.745
9.85862 44.79
NA NA
9.92167 44.79
9.98467 44.79
9.98467 44.745
9.92167 44.745
9.92167 44.79
NA NA
9.9847 44.79
10.0477 44.79
10.0477 44.745
9.9847 44.745
9.9847 44.79
NA NA
10.0478 44.79
10.1108 44.79
10.1108 44.745
10.0478 44.745
10.0478 44.79
NA NA
10.1108 44.79
10.1738 44.79
10.1738 44.745
10.1108 44.745
10.1108 44.79
NA NA
10.1739 44.79
10.2369 44.79
10.2369 44.745
10.1739 44.745
10.1739 44.79
NA NA
10.2369 44.79
10.2999 44.79
10.2999 44.745
10.2369 44.745
10.2369 44.79
NA NA
10.3 44.79
10.363 44.79
10.363 44.745
10.3 44.745
10.3 44.79
NA NA
10.363 44.79
10.426 44.79
10.426 44.745
10.363 44.745
10.363 44.79
NA NA
9.92167 44.835
9.98467 44.835
9.98467 44.79
9.92167 44.79
9.92167 44.835
NA NA
9.9847 44.835
10.0477 44.835
10.0477 44.79
9.9847 44.79
9.9847 44.835
NA NA
10.0478 44.835
10.1108 44.835
10.1108 44.79
10.0478 44.79
10.0478 44.835
NA NA
10.1108 44.835
10.1738 44.835
10.1738 44.79
10.1108 44.79
10.1108 44.835
NA NA
10.1739 44.835
10.2369 44.835
10.2369 44.79
10.1739 44.79
10.1739 44.835
NA NA
10.2369 44.835
10.2999 44.835
10.2999 44.79
10.2369 44.79
10.2369 44.835
NA NA
10.3 44.835
10.363 44.835
10.363 44.79
10.3 44.79
10.3 44.835
NA NA
10.363 44.835
10.426 44.835
10.426 44.79
10.363 44.79
10.363 44.835
NA NA
9.9847 44.88
10.0477 44.88
10.0477 44.835
9.9847 44.835
9.9847 44.88
NA NA
10.0478 44.88
10.1108 44.88
10.1108 44.835
10.0478 44.835
10.0478 44.88
NA NA
10.1108 44.88
10.1738 44.88
10.1738 44.835
10.1108 44.835
10.1108 44.88
NA NA
10.1739 44.88
10.2369 44.88
10.2369 44.835
10.1739 44.835
10.1739 44.88
NA NA
10.2369 44.88
10.2999 44.88
10.2999 44.835
10.2369 44.835
10.2369 44.88
NA NA
10.3 44.88
10.363 44.88
10.363 44.835
10.3 44.835
10.3 44.88
NA NA
10.363 44.88
10.426 44.88
10.426 44.835
10.363 44.835
10.363 44.88
NA NA
10.4261 44.88
10.4891 44.88
10.4891 44.835
10.4261 44.835
10.4261 44.88
NA NA
9.9847 44.925
10.0477 44.925
10.0477 44.88
9.9847 44.88
9.9847 44.925
NA NA
10.0478 44.925
10.1108 44.925
10.1108 44.88
10.0478 44.88
10.0478 44.925
NA NA
10.1108 44.925
10.1738 44.925
10.1738 44.88
10.1108 44.88
10.1108 44.925
NA NA
10.1739 44.925
10.2369 44.925
10.2369 44.88
10.1739 44.88
10.1739 44.925
NA NA
10.2369 44.925
10.2999 44.925
10.2999 44.88
10.2369 44.88
10.2369 44.925
NA NA
10.3 44.925
10.363 44.925
10.363 44.88
10.3 44.88
10.3 44.925
NA NA
10.363 44.925
10.426 44.925
10.426 44.88
10.363 44.88
10.363 44.925
NA NA
10.4261 44.925
10.4891 44.925
10.4891 44.88
10.4261 44.88
10.4261 44.925
NA NA
9.9847 44.97
10.0477 44.97
10.0477 44.925
9.9847 44.925
9.9847 44.97
NA NA
10.0478 44.97
10.1108 44.97
10.1108 44.925
10.0478 44.925
10.0478 44.97
NA NA
10.1108 44.97
10.1738 44.97
10.1738 44.925
10.1108 44.925
10.1108 44.97
NA NA
10.1739 44.97
10.2369 44.97
10.2369 44.925
10.1739 44.925
10.1739 44.97
NA NA
10.2369 44.97
10.2999 44.97
10.2999 44.925
10.2369 44.925
10.2369 44.97
NA NA
10.3 44.97
10.363 44.97
10.363 44.925
10.3 44.925
10.3 44.97
NA NA
10.363 44.97
10.426 44.97
10.426 44.925
10.363 44.925
10.363 44.97
NA NA
10.0478 45.015
10.1108 45.015
10.1108 44.97
10.0478 44.97
10.0478 45.015
NA NA
10.1108 45.015
10.1738 45.015
10.1738 44.97
10.1108 44.97
10.1108 45.015
NA NA
10.1739 45.015
10.2369 45.015
10.2369 44.97
10.1739 44.97
10.1739 45.015
NA NA
10.2369 45.015
10.2999 45.015
10.2999 44.97
10.2369 44.97
10.2369 45.015
NA NA
10.0478 45.06
10.1108 45.06
10.1108 45.015
10.0478 45.015
10.0478 45.06
NA NA
10.8674 44.115
10.9304 44.115
10.9304 44.07
10.8674 44.07
10.8674 44.115
NA NA
11.0566 44.115
11.1196 44.115
11.1196 44.07
11.0566 44.07
11.0566 44.115
NA NA
10.8044 44.16
10.8674 44.16
10.8674 44.115
10.8044 44.115
10.8044 44.16
NA NA
10.8674 44.16
10.9304 44.16
10.9304 44.115
10.8674 44.115
10.8674 44.16
NA NA
10.9305 44.16
10.9935 44.16
10.9935 44.115
10.9305 44.115
10.9305 44.16
NA NA
10.9935 44.16
11.0565 44.16
11.0565 44.115
10.9935 44.115
10.9935 44.16
NA NA
11.0566 44.16
11.1196 44.16
11.1196 44.115
11.0566 44.115
11.0566 44.16
NA NA
11.1196 44.16
11.1826 44.16
11.1826 44.115
11.1196 44.115
11.1196 44.16
NA NA
10.8044 44.205
10.8674 44.205
10.8674 44.16
10.8044 44.16
10.8044 44.205
NA NA
10.8674 44.205
10.9304 44.205
10.9304 44.16
10.8674 44.16
10.8674 44.205
NA NA
10.9305 44.205
10.9935 44.205
10.9935 44.16
10.9305 44.16
10.9305 44.205
NA NA
10.9935 44.205
11.0565 44.205
11.0565 44.16
10.9935 44.16
10.9935 44.205
NA NA
11.0566 44.205
11.1196 44.205
11.1196 44.16
11.0566 44.16
11.0566 44.205
NA NA
11.1196 44.205
11.1826 44.205
11.1826 44.16
11.1196 44.16
11.1196 44.205
NA NA
11.1827 44.205
11.2457 44.205
11.2457 44.16
11.1827 44.16
11.1827 44.205
NA NA
11.2457 44.205
11.3087 44.205
11.3087 44.16
11.2457 44.16
11.2457 44.205
NA NA
11.4979 44.205
11.5609 44.205
11.5609 44.16
11.4979 44.16
11.4979 44.205
NA NA
10.9305 44.25
10.9935 44.25
10.9935 44.205
10.9305 44.205
10.9305 44.25
NA NA
10.9935 44.25
11.0565 44.25
11.0565 44.205
10.9935 44.205
10.9935 44.25
NA NA
11.0566 44.25
11.1196 44.25
11.1196 44.205
11.0566 44.205
11.0566 44.25
NA NA
11.1196 44.25
11.1826 44.25
11.1826 44.205
11.1196 44.205
11.1196 44.25
NA NA
11.1827 44.25
11.2457 44.25
11.2457 44.205
11.1827 44.205
11.1827 44.25
NA NA
11.2457 44.25
11.3087 44.25
11.3087 44.205
11.2457 44.205
11.2457 44.25
NA NA
11.3088 44.25
11.3718 44.25
11.3718 44.205
11.3088 44.205
11.3088 44.25
NA NA
11.3718 44.25
11.4348 44.25
11.4348 44.205
11.3718 44.205
11.3718 44.25
NA NA
11.4349 44.25
11.4979 44.25
11.4979 44.205
11.4349 44.205
11.4349 44.25
NA NA
11.4979 44.25
11.5609 44.25
11.5609 44.205
11.4979 44.205
11.4979 44.25
NA NA
10.9935 44.295
11.0565 44.295
11.0565 44.25
10.9935 44.25
10.9935 44.295
NA NA
11.0566 44.295
11.1196 44.295
11.1196 44.25
11.0566 44.25
11.0566 44.295
NA NA
11.1196 44.295
11.1826 44.295
11.1826 44.25
11.1196 44.25
11.1196 44.295
NA NA
11.1827 44.295
11.2457 44.295
11.2457 44.25
11.1827 44.25
11.1827 44.295
NA NA
11.2457 44.295
11.3087 44.295
11.3087 44.25
11.2457 44.25
11.2457 44.295
NA NA
11.3088 44.295
11.3718 44.295
11.3718 44.25
11.3088 44.25
11.3088 44.295
NA NA
11.3718 44.295
11.4348 44.295
11.4348 44.25
11.3718 44.25
11.3718 44.295
NA NA
11.4349 44.295
11.4979 44.295
11.4979 44.25
11.4349 44.25
