"X" "Y"
12.06535 43.98
NA NA
12.12835 43.98
12.19145 43.98
12.19145 43.935
12.12835 43.935
12.12835 43.98
NA NA
12.19145 43.98
12.25455 43.98
12.25455 43.935
12.19145 43.935
12.19145 43.98
NA NA
12.25445 43.98
12.31755 43.98
12.31755 43.935
12.25445 43.935
12.25445 43.98
NA NA
12.31755 43.98
12.38065 43.98
12.38065 43.935
12.31755 43.935
12.31755 43.98
NA NA
12.38055 43.98
12.44365 43.98
12.44365 43.935
12.38055 43.935
12.38055 43.98
NA NA
12.44365 43.98
12.50675 43.98
12.50675 43.935
12.44365 43.935
12.44365 43.98
NA NA
12.50665 43.98
12.56975 43.98
12.56975 43.935
12.50665 43.935
12.50665 43.98
NA NA
12.56975 43.98
12.63285 43.98
12.63285 43.935
12.56975 43.935
12.56975 43.98
NA NA
12.63275 43.98
12.69585 43.98
12.69585 43.935
12.63275 43.935
12.63275 43.98
NA NA
12.69585 43.98
12.75895 43.98
12.75895 43.935
12.69585 43.935
12.69585 43.98
NA NA
11.62395 44.025
11.68705 44.025
11.68705 43.98
11.62395 43.98
11.62395 44.025
NA NA
11.68705 44.025
11.75015 44.025
11.75015 43.98
11.68705 43.98
11.68705 44.025
NA NA
11.75005 44.025
11.81315 44.025
11.81315 43.98
11.75005 43.98
11.75005 44.025
NA NA
11.81315 44.025
11.87625 44.025
11.87625 43.98
11.81315 43.98
11.81315 44.025
NA NA
11.87615 44.025
11.93925 44.025
11.93925 43.98
11.87615 43.98
11.87615 44.025
NA NA
11.93925 44.025
12.00235 44.025
12.00235 43.98
11.93925 43.98
11.93925 44.025
NA NA
12.00225 44.025
12.06535 44.025
12.06535 43.98
12.00225 43.98
12.00225 44.025
NA NA
12.06535 44.025
12.12845 44.025
12.12845 43.98
12.06535 43.98
12.06535 44.025
NA NA
12.12835 44.025
12.19145 44.025
12.19145 43.98
12.12835 43.98
12.12835 44.025
NA NA
12.19145 44.025
12.25455 44.025
12.25455 43.98
12.19145 43.98
12.19145 44.025
NA NA
12.25445 44.025
12.31755 44.025
12.31755 43.98
12.25445 43.98
12.25445 44.025
NA NA
12.31755 44.025
12.38065 44.025
12.38065 43.98
12.31755 43.98
12.31755 44.025
NA NA
12.38055 44.025
12.44365 44.025
12.44365 43.98
12.38055 43.98
12.38055 44.025
NA NA
12.44365 44.025
12.50675 44.025
12.50675 43.98
12.44365 43.98
12.44365 44.025
NA NA
12.50665 44.025
12.56975 44.025
12.56975 43.98
12.50665 43.98
12.50665 44.025
NA NA
12.56975 44.025
12.63285 44.025
12.63285 43.98
12.56975 43.98
12.56975 44.025
NA NA
12.63275 44.025
12.69585 44.025
12.69585 43.98
12.63275 43.98
12.63275 44.025
NA NA
12.69585 44.025
12.75895 44.025
12.75895 43.98
12.69585 43.98
12.69585 44.025
NA NA
10.86735 44.07
10.93045 44.07
10.93045 44.025
10.86735 44.025
10.86735 44.07
NA NA
11.62395 44.07
11.68705 44.07
11.68705 44.025
11.62395 44.025
11.62395 44.07
NA NA
11.68705 44.07
11.75015 44.07
11.75015 44.025
11.68705 44.025
11.68705 44.07
NA NA
11.75005 44.07
11.81315 44.07
11.81315 44.025
11.75005 44.025
11.75005 44.07
NA NA
11.81315 44.07
11.87625 44.07
11.87625 44.025
11.81315 44.025
11.81315 44.07
NA NA
11.87615 44.07
11.93925 44.07
11.93925 44.025
11.87615 44.025
11.87615 44.07
NA NA
11.93925 44.07
12.00235 44.07
12.00235 44.025
11.93925 44.025
11.93925 44.07
NA NA
12.00225 44.07
12.06535 44.07
12.06535 44.025
12.00225 44.025
12.00225 44.07
NA NA
12.06535 44.07
12.12845 44.07
12.12845 44.025
12.06535 44.025
12.06535 44.07
NA NA
12.12835 44.07
12.19145 44.07
12.19145 44.025
12.12835 44.025
12.12835 44.07
NA NA
12.19145 44.07
12.25455 44.07
12.25455 44.025
12.19145 44.025
12.19145 44.07
NA NA
12.25445 44.07
12.31755 44.07
12.31755 44.025
12.25445 44.025
12.25445 44.07
NA NA
12.31755 44.07
12.38065 44.07
12.38065 44.025
12.31755 44.025
12.31755 44.07
NA NA
12.38055 44.07
12.44365 44.07
12.44365 44.025
12.38055 44.025
12.38055 44.07
NA NA
12.44365 44.07
12.50675 44.07
12.50675 44.025
12.44365 44.025
12.44365 44.07
NA NA
12.50665 44.07
12.56975 44.07
12.56975 44.025
12.50665 44.025
12.50665 44.07
NA NA
12.56975 44.07
12.63285 44.07
12.63285 44.025
12.56975 44.025
12.56975 44.07
NA NA
10.80435 44.115
10.86745 44.115
10.86745 44.07
10.80435 44.07
10.80435 44.115
NA NA
10.86735 44.115
10.93045 44.115
10.93045 44.07
10.86735 44.07
10.86735 44.115
NA NA
10.93045 44.115
10.99355 44.115
10.99355 44.07
10.93045 44.07
10.93045 44.115
NA NA
10.99345 44.115
11.05655 44.115
11.05655 44.07
10.99345 44.07
10.99345 44.115
NA NA
11.05655 44.115
11.11965 44.115
11.11965 44.07
11.05655 44.07
11.05655 44.115
NA NA
11.11955 44.115
11.18265 44.115
11.18265 44.07
11.11955 44.07
11.11955 44.115
NA NA
11.18265 44.115
11.24575 44.115
11.24575 44.07
11.18265 44.07
11.18265 44.115
NA NA
11.24565 44.115
11.30875 44.115
11.30875 44.07
11.24565 44.07
11.24565 44.115
NA NA
11.56095 44.115
11.62405 44.115
11.62405 44.07
11.56095 44.07
11.56095 44.115
NA NA
11.62395 44.115
11.68705 44.115
11.68705 44.07
11.62395 44.07
11.62395 44.115
NA NA
11.68705 44.115
11.75015 44.115
11.75015 44.07
11.68705 44.07
11.68705 44.115
NA NA
11.75005 44.115
11.81315 44.115
11.81315 44.07
11.75005 44.07
11.75005 44.115
NA NA
11.81315 44.115
11.87625 44.115
11.87625 44.07
11.81315 44.07
11.81315 44.115
NA NA
11.87615 44.115
11.93925 44.115
11.93925 44.07
11.87615 44.07
11.87615 44.115
NA NA
11.93925 44.115
12.00235 44.115
12.00235 44.07
11.93925 44.07
11.93925 44.115
NA NA
12.00225 44.115
12.06535 44.115
12.06535 44.07
12.00225 44.07
12.00225 44.115
NA NA
12.06535 44.115
12.12845 44.115
12.12845 44.07
12.06535 44.07
12.06535 44.115
NA NA
12.12835 44.115
12.19145 44.115
12.19145 44.07
12.12835 44.07
12.12835 44.115
NA NA
12.19145 44.115
12.25455 44.115
12.25455 44.07
12.19145 44.07
12.19145 44.115
NA NA
12.25445 44.115
12.31755 44.115
12.31755 44.07
12.25445 44.07
12.25445 44.115
NA NA
12.31755 44.115
12.38065 44.115
12.38065 44.07
12.31755 44.07
12.31755 44.115
NA NA
12.38055 44.115
12.44365 44.115
12.44365 44.07
12.38055 44.07
12.38055 44.115
NA NA
12.44365 44.115
12.50675 44.115
12.50675 44.07
12.44365 44.07
12.44365 44.115
NA NA
12.50665 44.115
12.56975 44.115
